power,threshold,pearson,spearman
1,0.05,"[0.8377462040741377, 0.8377462040741377, 0.8377462040741377]","[0.861518315426035, 0.861518315426035, 0.861518315426035]"
1,0.1,"[0.8385486172887398, 0.8385486172887398, 0.8385486172887398]","[0.8628196500038711, 0.8628196500038711, 0.8628196500038711]"
1,0.2,"[0.8377383047612055, 0.8377383047612055, 0.8377383047612055]","[0.8624779123298237, 0.8624779123298237, 0.8624779123298237]"
1,0.3,"[0.8364770263527057, 0.8364770263527057, 0.8364770263527057]","[0.8600144124948627, 0.8600144124948627, 0.8600144124948627]"
1,0.5,"[0.8270531705142207, 0.8270531705142207, 0.8270531705142207]","[0.8537847021498851, 0.8537847021498851, 0.8537847021498851]"
1,0.7,"[0.7913981453339598, 0.7913981453339598, 0.7913981453339598]","[0.8340509190993921, 0.8340509190993921, 0.8340509190993921]"
2,0.05,"[0.8304391606361785, 0.8304391606361785, 0.8304391606361785]","[0.8561283056573967, 0.8561283056573967, 0.8561283056573967]"
2,0.1,"[0.8380750873969691, 0.8380750873969691, 0.8380750873969691]","[0.8621492998532895, 0.8621492998532895, 0.8621492998532895]"
2,0.2,"[0.8360095442251252, 0.8360095442251252, 0.8360095442251252]","[0.8599120339540993, 0.8599120339540993, 0.8599120339540993]"
2,0.3,"[0.8292202659907597, 0.8292202659907597, 0.8292202659907597]","[0.8546178923356027, 0.8546178923356027, 0.8546178923356027]"
2,0.5,"[0.8238660879912972, 0.8238660879912972, 0.8238660879912972]","[0.8495597155649753, 0.8495597155649753, 0.8495597155649753]"
2,0.7,"[0.7888153465342139, 0.7888153465342139, 0.7888153465342139]","[0.8324461193252513, 0.8324461193252513, 0.8324461193252513]"
3,0.05,"[0.8396980294735792, 0.8396980294735792, 0.8396980294735792]","[0.8624711488925892, 0.8624711488925892, 0.8624711488925892]"
3,0.1,"[0.8398366466232412, 0.8398366466232412, 0.8398366466232412]","[0.8637589521877084, 0.8637589521877084, 0.8637589521877084]"
3,0.2,"[0.8326991277761862, 0.8326991277761862, 0.8326991277761862]","[0.8589246714679611, 0.8589246714679611, 0.8589246714679611]"
3,0.3,"[0.8289404790348779, 0.8289404790348779, 0.8289404790348779]","[0.8548833234285481, 0.8548833234285481, 0.8548833234285481]"
3,0.5,"[0.8154599225267752, 0.8154599225267752, 0.8154599225267752]","[0.8440367150633179, 0.8440367150633179, 0.8440367150633179]"
3,0.7,"[0.7634543959545924, 0.7634543959545924, 0.7634543959545924]","[0.816400030289573, 0.816400030289573, 0.816400030289573]"
