module__mlp_embed_dim,module__num_encoder_units,module__pdropout,pearson,spearman
50,1,0.05,"[0.8148528610370978, 0.8016428672753434, 0.803366471573251]","[0.8424918471739175, 0.8267087366665609, 0.824444566569977]"
50,1,0.1,"[0.81273116687007, 0.7886575188804797, 0.7863278222816088]","[0.837954816152077, 0.8227090292699204, 0.8153658455999705]"
50,1,0.2,"[0.805354675570096, 0.8169372608513592, 0.7982082017533971]","[0.8335679732568866, 0.8399778181544979, 0.8279436016364918]"
50,3,0.05,"[0.8106396601451544, 0.8107110285052727, 0.7969965818983104]","[0.8345651431469985, 0.8386608962080161, 0.826837013863607]"
50,3,0.1,"[0.791136161793394, 0.7948003988330864, 0.789425487318935]","[0.8187568748322532, 0.8255194159689756, 0.8194565267410099]"
50,3,0.2,"[0.810059155483685, 0.807948202325265, 0.812538130386268]","[0.8319652811244677, 0.8323039484368927, 0.8349266855674738]"
50,5,0.05,"[0.8063295555269955, 0.8034706510222793, 0.8124007380622397]","[0.8332040231432776, 0.8322584045317449, 0.835216747451843]"
50,5,0.1,"[0.8080848697115497, 0.8017099360684764, 0.8074034479838031]","[0.83088240416231, 0.8304404280918783, 0.8338930706214447]"
50,5,0.2,"[0.8096666256528819, 0.8025926273661099, 0.8032248823048866]","[0.8304688204623119, 0.827841494301696, 0.828537867197442]"
100,1,0.05,"[0.8002087624588051, 0.7815652043181711, 0.8051897004237274]","[0.825146037111449, 0.8131035182827754, 0.8308175632104169]"
100,1,0.1,"[0.8064966616764889, 0.8145414898972898, 0.7999534464418822]","[0.8358557362053166, 0.841693083433793, 0.8328167148732087]"
100,1,0.2,"[0.8181265184572488, 0.8041913208352914, 0.8229928821083305]","[0.8408474633037248, 0.8316172377746046, 0.8381389324990499]"
100,3,0.05,"[0.8011316384273213, 0.8006131969336875, 0.8003615192072903]","[0.8269244409419477, 0.8255080246992103, 0.8261920862398653]"
100,3,0.1,"[0.8101098093987856, 0.8094905911205399, 0.8024543226126247]","[0.8372676502723352, 0.8333073266650675, 0.829082994211712]"
100,3,0.2,"[0.8061513779493303, 0.8160368219463622, 0.8055230272830163]","[0.8326577810121902, 0.8387537012177224, 0.8298536947140341]"
100,5,0.05,"[0.7975701349861102, 0.8003171750757041, 0.8066149770672855]","[0.8288292427012489, 0.8311731833795509, 0.8340530370050266]"
100,5,0.1,"[0.8053012668620237, 0.7986297293311211, 0.8094176965629992]","[0.8333053242949916, 0.8250393256999908, 0.8350566567161818]"
100,5,0.2,"[0.809148658821236, 0.8041684657488047, 0.8111045769405325]","[0.8364619288030501, 0.8306344162448032, 0.8330286835913413]"
150,1,0.05,"[0.8085070147643788, 0.8068846421994335, 0.8106396367116533]","[0.8297069860385938, 0.8324352068710125, 0.8386571481442249]"
150,1,0.1,"[0.7956251616905721, 0.7756681880214322, 0.8111408575895936]","[0.8275146966417921, 0.8090840841988535, 0.839992160779889]"
150,1,0.2,"[0.8206009795750635, 0.8127229137427116, 0.8022011364392114]","[0.8431916539912222, 0.8361289368579702, 0.8288320875732598]"
150,3,0.05,"[0.7996131786330023, 0.796660692681799, 0.8112221888904593]","[0.8317364601664184, 0.8298436535796843, 0.8387011949942634]"
150,3,0.1,"[0.784921150379725, 0.8045068730081327, 0.8040578762080215]","[0.8163030898823725, 0.8238790951607193, 0.8282292165852235]"
150,3,0.2,"[0.7937146305223128, 0.7991840167219129, 0.796656947090306]","[0.8237700454540322, 0.8249070809981264, 0.8238459103279017]"
150,5,0.05,"[0.8011153288576034, 0.8021485017867108, 0.8009652716510127]","[0.8297102557745445, 0.8304112986774181, 0.8273153594686891]"
150,5,0.1,"[0.8090858104718486, 0.8041357830799005, 0.8134866373252276]","[0.8361129447857668, 0.8282231674158075, 0.8393780516259975]"
150,5,0.2,"[0.8038000927233441, 0.7779307359982879, 0.8094283501179856]","[0.8319344441773429, 0.8082815257464332, 0.8329968235632058]"
